# retroflash library v1
# series	title	games	bytes
games	RetroFlash Games	3042	7864479134
essentials	Games in RetroFlash	95	402227753
arcade	Arcade classics	24	54753871
puzzle	Puzzles & brain	16	50445908
platform	Platformers & adventure	23	157420981
strategy	Tower defence & strategy	9	47234478
action	Action & shooters	19	84277912
sim	Sim & skill	4	8094603
